dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,pneumonia,0.011854888871312141,0.0,0.9881451109724574,0.0,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,pneumothorax,0.04492378979921341,0.0,0.9550762100008914,0.0,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,consolidation,0.0398431234061718,0.0,0.960156876726981,0.0,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,edema,0.017826899886131287,0.0,0.9821730992067029,0.0,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,emphysema,0.018539976328611374,0.0,0.981460023174971,0.0,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,fibrosis,0.01479632779955864,0.0,0.9852036723415635,0.0,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,pleural,0.03315803408622742,0.0,0.9668419645244675,0.0,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,200,0.01,2,atelectasis,0.09974151104688644,0.9704964756965637,0.12835368571173902,0.18555842425251937,0.7548389651297569
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,200,0.01,2,cardiomegaly,0.021392280235886574,0.6048667430877686,0.41456457794812374,0.06518645032735554,0.8480407672222727
